Cell	Percent.Mitochondria	hpca	nCount_RNA	nFeature_RNA	Lineage
Cell_8056	0	NK_cell	744	600	Immune_cells
Cell_8057	0.1	Fibroblasts	1731	1198	Stromal_cells
Cell_8058	0	T_cells	1619	1158	Immune_cells
Cell_8059	0.1	Smooth_muscle_cells	766	612	Stromal_cells
Cell_8060	0	NK_cell	1150	869	Immune_cells
Cell_8061	0.2	Smooth_muscle_cells	583	488	Stromal_cells
Cell_8062	0	B_cell	908	703	Immune_cells
Cell_8063	0	Macrophage	1431	1006	Immune_cells
Cell_8064	0.1	Endothelial_cells	888	698	Stromal_cells
Cell_8065	0	Platelets	497	400	
Cell_8066	0.1	Epithelial_cells	1563	1028	Epithelial_cells
Cell_8067	0	Smooth_muscle_cells	700	603	Stromal_cells
Cell_8068	0.2	T_cells	1039	837	Immune_cells
Cell_8069	0.1	Smooth_muscle_cells	739	594	Stromal_cells
Cell_8070	0	NK_cell	754	611	Immune_cells
