Cell	Percent.Mitochondria	hpca	nCount_RNA	nFeature_RNA	Lineage
Cell_8670	0.5	B_cell	1337	984	Immune_cells
Cell_8671	0.5	T_cells	1290	999	Immune_cells
Cell_8672	0.4	Epithelial_cells	855	706	Epithelial_cells
Cell_8673	0.3	NK_cell	1829	1367	Immune_cells
Cell_8674	0.3	Osteoblasts	7516	3780	Stromal_cells
Cell_8675	0.7	Monocyte	616	508	Immune_cells
Cell_8676	0.3	T_cells	3681	2278	Immune_cells
Cell_8677	0.6	T_cells	484	439	Immune_cells
Cell_8678	0.5	DC	939	690	
Cell_8679	0.9	B_cell	788	657	Immune_cells
Cell_8680	0.3	T_cells	1460	1117	Immune_cells
Cell_8681	0.4	T_cells	812	695	Immune_cells
Cell_8682	0.4	NK_cell	925	745	Immune_cells
Cell_8683	1	T_cells	691	589	Immune_cells
Cell_8684	0.7	T_cells	848	695	Immune_cells
Cell_8685	0.2	NK_cell	980	788	Immune_cells
Cell_8686	0.4	Osteoblasts	1423	1056	Stromal_cells
Cell_8687	0.3	Endothelial_cells	1369	1032	Stromal_cells
Cell_8688	0.8	Platelets	1108	880	
Cell_8689	0.8	T_cells	737	630	Immune_cells
Cell_8690	0.3	T_cells	900	757	Immune_cells
Cell_8691	0.2	Macrophage	1230	879	Immune_cells
Cell_8692	0.9	Smooth_muscle_cells	1259	948	Stromal_cells
Cell_8693	0.8	Platelets	740	619	
Cell_8694	0.6	Fibroblasts	1449	1119	Stromal_cells
Cell_8695	0.5	T_cells	947	772	Immune_cells
Cell_8696	0.4	Endothelial_cells	18441	6041	Stromal_cells
Cell_8697	0.6	Fibroblasts	3767	2153	Stromal_cells
Cell_8698	0.3	B_cell	1216	946	Immune_cells
Cell_8699	0.3	Epithelial_cells	1708	1180	Epithelial_cells
Cell_8700	0.4	T_cells	2576	1742	Immune_cells
Cell_8701	0.3	T_cells	5571	2863	Immune_cells
Cell_8702	0.5	Smooth_muscle_cells	1332	978	Stromal_cells
Cell_8703	0.4	T_cells	680	578	Immune_cells
Cell_8704	0.2	Chondrocytes	1630	1147	Stromal_cells
Cell_8705	0.5	NK_cell	1101	870	Immune_cells
Cell_8706	0.5	T_cells	968	799	Immune_cells
Cell_8707	1.5	Astrocyte	521	428	
Cell_8708	0.3	T_cells	787	667	Immune_cells
Cell_8709	0.7	Macrophage	684	538	Immune_cells
Cell_8710	0.5	NK_cell	657	570	Immune_cells
Cell_8711	0.6	T_cells	681	582	Immune_cells
Cell_8712	0.4	T_cells	1643	1248	Immune_cells
Cell_8713	0.3	Macrophage	6605	3341	Immune_cells
Cell_8714	0.5	T_cells	981	771	Immune_cells
Cell_8715	0.3	Neurons	1141	831	
Cell_8716	0.6	T_cells	1028	802	Immune_cells
Cell_8717	0.7	Chondrocytes	7621	3783	Stromal_cells
Cell_8718	0.3	Fibroblasts	4512	2749	Stromal_cells
Cell_8719	0.3	Neurons	1734	1215	
Cell_8720	0.7	Osteoblasts	1221	966	Stromal_cells
Cell_8721	0.4	T_cells	728	634	Immune_cells
Cell_8722	0.2	Embryonic_stem_cells	6301	3210	
Cell_8723	0.2	Neurons	5212	2887	
Cell_8724	0.9	T_cells	942	763	Immune_cells
Cell_8725	0.6	Embryonic_stem_cells	1203	809	
Cell_8726	0.4	T_cells	686	586	Immune_cells
Cell_8727	0.7	Macrophage	1378	1057	Immune_cells
Cell_8728	0.6	B_cell	980	802	Immune_cells
Cell_8729	0.8	Platelets	504	439	
Cell_8730	0.2	T_cells	951	777	Immune_cells
Cell_8731	0.5	T_cells	1085	877	Immune_cells
Cell_8732	1	Epithelial_cells	3033	1899	Epithelial_cells
Cell_8733	0.6	Fibroblasts	1199	932	Stromal_cells
Cell_8734	0.1	NK_cell	914	755	Immune_cells
Cell_8735	0.3	T_cells	922	741	Immune_cells
Cell_8736	0.3	NK_cell	620	528	Immune_cells
Cell_8737	0.3	Platelets	6883	3240	
